,"Table S1 All DEGs obtained in this study with annotation and TPM. Pre-po, Pol, Post-pol y Fer",,,,,,,,,,,,
TRINITY_DN9939_c0_g1_i13,ILL7_ORYSJ,PF01546.29,Peptidase family M20/M25/M40  ,|0009850|0009694|0010112|0009753,|auxin metabolic process|jasmonic acid metabolic process|regulation of systemic acquired resistance|response to jasmonic acid,|0010179|0047980|1990206|0046872,|IAA-Ala conjugate hydrolase activity|hippurate hydrolase activity|jasmonyl-Ile conjugate hydrolase activity|metal ion binding,|0005783|0016021,|endoplasmic reticulum|integral component of membrane,0,60.2665,72.7235,62.432
TRINITY_DN9991_c0_g1_i1,CCX5_ARATH,PF01699.25,Sodium/calcium exchanger protein  ,|0055085|0006812,|transmembrane transport|cation transport,|0008324|0015318|0046982|0015297,|cation transmembrane transporter activity|inorganic molecular entity transmembrane transporter activity|protein heterodimerization activity|antiporter activity,|0016021|0034399|0005886,|integral component of membrane|nuclear periphery|plasma membrane,10.628,2.227,11.5,112.9635
TRINITY_DN9993_c0_g1_i3,MIF2_ARATH,PF04770.13,ZF-HD protein dimerisation region ,|0006355|0009640|0048509|0043392|0009741|0009735|0009723|0009739|0009737|0009733|1903507|2000113,|regulation of transcription DNA-templated|photomorphogenesis|regulation of meristem development|negative regulation of DNA binding|response to brassinosteroid|response to cytokinin|response to ethylene|response to gibberellin|response to abscisic acid|response to auxin|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process,|0000976|0003700|0042803|0046872,|transcription regulatory region sequence-specific DNA binding|DNA-binding transcription factor activity|protein homodimerization activity|metal ion binding,|0005634|0005737|0016021,|nucleus|cytoplasm|integral component of membrane,0,128.05,148.622,78.0475
TRINITY_DN1003_c0_g1_i12,RBP2A_PLAF7,PF08271.13,TFIIB zinc-binding   ,.,.,.,.,|0016021,|integral component of membrane,108.7295,55.874,0,58.5245
TRINITY_DN10047_c0_g1_i3,RBBP_ARATH,PF00400.33,WD domain,.,.,.,.,|0048188,|Set1C/COMPASS complex,85.1565,0,0,0
TRINITY_DN10072_c0_g1_i11,OP10_MAIZE,PF16552.6,D-ornithine 4,.,.,.,.,.,.,117.5645,66.8305,0,0
TRINITY_DN10094_c0_g1_i3,CSLA9_ORYSJ,PF13632.7,Glycosyl transferase family group 2,|0097502|0071555,|mannosylation|cell wall organization,|0019187,|beta-14-mannosyltransferase activity,|0005794|0098588|0031984|0016021,|Golgi apparatus|bounding membrane of organelle|organelle subcompartment|integral component of membrane,155.9635,24.1175,2.2305,0
TRINITY_DN10150_c0_g1_i9,MFSD5_MOUSE,PF05631.15,Sugar-tranasporters,|0015689|0006817,|molybdate ion transport|phosphate ion transport,|0015098,|molybdate ion transmembrane transporter activity,|0005886|0016021,|plasma membrane|integral component of membrane,62.6235,85.6975,0,0
TRINITY_DN10208_c0_g1_i2,ORC1_ORYSJ,PF00004.30,ATPase family associated with various,|0006260|0033314|0006259|0006325|0009452|0009567|0009744|0001510|0006355,|DNA replication|mitotic DNA replication checkpoint|DNA metabolic process|chromatin organization|7-methylguanosine RNA capping|double fertilization forming a zygote and endosperm|response to sucrose|RNA methylation|regulation of transcription DNA-templated,|0003682|0016887|0003677|0005524|0046872|0042393|0008168|0003723,|chromatin binding|ATPase activity|DNA binding|ATP binding|metal ion binding|histone binding|methyltransferase activity|RNA binding,|0005634|0000808|0000781|0070013|0043233|0016021,|nucleus|origin recognition complex|chromosome telomeric region|intracellular organelle lumen|organelle lumen|integral component of membrane,137.2355,324.895,1300.5085,3189.8315
TRINITY_DN1023_c0_g1_i3,HIP6_ARATH,PF00403.27,Heavy-metal-associated domain   ,|0030001,|metal ion transport,|0046872,|metal ion binding,.,.,103.5,249.293,65.1015,3
TRINITY_DN10293_c0_g1_i1,BH061_ARATH,PF01842.26,ACT domain   ,|0006355,|regulation of transcription DNA-templated,|0046983|0043565|0003700,|protein dimerization activity|sequence-specific DNA binding|DNA-binding transcription factor activity,|0005634,|nucleus,187.8455,0,0,35.8645
TRINITY_DN10325_c0_g1_i2,TMN11_ARATH,PF02990.17,Endomembrane protein 70  ,|0072657|0006817,|protein localization to membrane|phosphate ion transport,|0003677|0046872,|DNA binding|metal ion binding,|0010008|0000139|0005802|0016021|0005797|0005829|0009536|0005886,|endosome membrane|Golgi membrane|trans-Golgi network|integral component of membrane|Golgi medial cisterna|cytosol|plastid|plasma membrane,678.3445,446.8155,645.8,2056.696
TRINITY_DN10333_c0_g1_i1,MTND1_VITVI,PF03079.15,ARD/ARD' family   ,.,.,.,.,.,.,103.4135,146.598,1308.999,45.405
TRINITY_DN10340_c0_g1_i29,GLO14_ORYSI,PF12076.9,WAX2 C-terminal domain  ,.,.,.,.,.,.,0,108.378,95.318,76.629
TRINITY_DN10400_c0_g1_i5,VPS15_ARATH,PF00400.33,WD domain,|0006468,|protein phosphorylation,|0004672|0005524,|protein kinase activity|ATP binding,|0005768,|endosome,1140.273,570.7515,4.927,14.845
TRINITY_DN10403_c0_g1_i9,SRO3_ARATH,PF12174.9,RCD1-SRO-TAF4 (RST) plant domain ,|0010102|0009793|0009651|0010193|0009867|0048573|0009873|0006809|2000377|0009414|0012501|0000303|0042542|0016032,|lateral root morphogenesis|embryo development ending in seed dormancy|response to salt stress|response to ozone|jasmonic acid mediated signaling pathway|photoperiodism flowering|ethylene-activated signaling pathway|nitric oxide biosynthetic process|regulation of reactive oxygen species metabolic process|response to water deprivation|programmed cell death|response to superoxide|response to hydrogen peroxide|viral process,|0003950|0005515,|NAD+ ADP-ribosyltransferase activity|protein binding,|0016363|0005737,|nuclear matrix|cytoplasm,2.5,2,182,28.5
TRINITY_DN10457_c0_g1_i1,PPO_MALDO,PF12143.9,Protein of unknown function (DUF_B2219),.,.,.,.,.,.,69.659,0,103.841,131.658
TRINITY_DN10493_c0_g1_i29,NDL1_ARATH,PF03096.15,Ndr family   ,.,.,.,.,|0016021,|integral component of membrane,90.9445,129.5895,491.416,9.5
TRINITY_DN10651_c0_g1_i1,YJNA_SCHPO,PF00004.30,ATPase family associated with various,|0006508,|proteolysis,|0008233|0016887|0005524,|peptidase activity|ATPase activity|ATP binding,.,.,0,0.5,19.5,135
TRINITY_DN10670_c0_g1_i1,PLAO1_PLAOI,PF04043.16,Plant invertase/pectin methylesterase inhibitor ,|0043086|0071555,|negative regulation of catalytic activity|cell wall organization,|0004857|0016787,|enzyme inhibitor activity|hydrolase activity,|0005576,|extracellular region,51.641,58.037,0,81.012
TRINITY_DN1068_c0_g1_i10,HTPX2_METAC,PF01435.19,Peptidase family M48  ,|0080120|0016485|0019509|0016311,|CAAX-box protein maturation|protein processing|L-methionine salvage from methylthioadenosine|dephosphorylation,|0004222|0046872|0043874,|metalloendopeptidase activity|metal ion binding|acireductone synthase activity,|0030176,|integral component of endoplasmic reticulum membrane,50.2955,0,143.611,50.7885
TRINITY_DN10758_c0_g1_i8,SMC6B_ARATH,PF02463.20,RecF/RecN/SMC N terminal domain ,|0000724|0051276,|double-strand break repair via homologous recombination|chromosome organization,|0005524,|ATP binding,|0030915|0005634,|Smc5-Smc6 complex|nucleus,0,68.033,154.471,43.2195
TRINITY_DN10863_c0_g1_i10,CKX1_ORYSJ,PF09265.11,Cytokinin dehydrogenase 1,.,.,.,.,.,.,38.082,224.0335,36.613,0
TRINITY_DN10871_c0_g1_i23,NAP1B_ORYSJ,PF00956.19,Nucleosome assembly protein (NAP) ,|0006334|0016444|0000724,|nucleosome assembly|somatic cell DNA recombination|double-strand break repair via homologous recombination,|0042393|0003682,|histone binding|chromatin binding,|0005634|0005737,|nucleus|cytoplasm,125.908,130.9155,0,0
TRINITY_DN10871_c0_g1_i25,NAP1B_ORYSJ,PF00956.19,Nucleosome assembly protein (NAP) ,|0006334|0016444|0000724,|nucleosome assembly|somatic cell DNA recombination|double-strand break repair via homologous recombination,|0042393|0003682,|histone binding|chromatin binding,|0005634|0005737,|nucleus|cytoplasm,94.587,48.0735,0,0
TRINITY_DN10879_c0_g1_i25,CRSP_ARATH,PF00082.23,Subtilase family   ,|0006508,|proteolysis,|0004252,|serine-type endopeptidase activity,.,.,115.896,14.492,4.3245,0
TRINITY_DN108_c1_g2_i3,WAV3_ARATH,PF13519.7,von Willebrand factor type A,|0009630|0048364|0016567,|gravitropism|root development|protein ubiquitination,|0061630|0046872,|ubiquitin protein ligase activity|metal ion binding,|0005886,|plasma membrane,143.79,146.886,18.3325,0.5
TRINITY_DN10900_c0_g1_i1,SBT_MEDTR,PF17766.2,Fibronectin type-III domain  ,|0006508,|proteolysis,|0004252,|serine-type endopeptidase activity,|0005576|0016021,|extracellular region|integral component of membrane,3066.7125,2704.0785,522.9,2270.5765
TRINITY_DN1091_c0_g1_i3,CHRC1_ONCHC,PF04755.13,PAP_fibrillin    ,|0009628|0001101|0104004|0010035|1901700|0006950,|response to abiotic stimulus|response to acid chemical|cellular response to environmental stimulus|response to inorganic substance|response to oxygen-containing compound|response to stress,.,.,|0009507|0055035,|chloroplast|plastid thylakoid membrane,110.698,88.864,9.62,0
TRINITY_DN1091_c0_g1_i4,CHRC1_ONCHC,PF04755.13,PAP_fibrillin    ,.,.,.,.,|0010287|0009535,|plastoglobule|chloroplast thylakoid membrane,0,19.5685,0,177.5125
TRINITY_DN10952_c0_g1_i1,STP7_ARATH,PF00083.25,Sugar (and other) transporter ,|0008643|0055085|0006817,|carbohydrate transport|transmembrane transport|phosphate ion transport,|0022857,|transmembrane transporter activity,|0090406|0016021|0012505|0005886,|pollen tube|integral component of membrane|endomembrane system|plasma membrane,90.505,108.0215,198.854,0
TRINITY_DN10969_c0_g1_i1,ISE2_ARATH,PF08148.13,DSHCT (NUC185) domain  ,|0000460|0006401,|maturation of 58S rRNA|RNA catabolic process,|0004386|0005524|0140098|0003676,|helicase activity|ATP binding|catalytic activity acting on RNA|nucleic acid binding,|0005634,|nucleus,20.0925,31.0495,185.421,291.337
TRINITY_DN10985_c0_g1_i1,PIL13_ORYSJ,PF00010.27,Helix-loop-helix DNA-binding domain  ,.,.,|0046983,|protein dimerization activity,|0005634,|nucleus,0,98.1105,40.615,0
TRINITY_DN11094_c0_g2_i1,AB21B_ARATH,PF00664.24,ABC transporter transmembrane region ,|0055085,|transmembrane transport,|0042626|0005524,|ATPase-coupled transmembrane transporter activity|ATP binding,|0016021,|integral component of membrane,23.88,0,122.2725,0
TRINITY_DN11094_c0_g2_i8,AB11B_ARATH,PF00005.28,ABC transporter   ,|0055085|0060919|0010315,|transmembrane transport|auxin influx|auxin efflux,|0042626|0005524|0010328|0010329|0046983|0003677|0046872,|ATPase-coupled transmembrane transporter activity|ATP binding|auxin influx transmembrane transporter activity|auxin efflux transmembrane transporter activity|protein dimerization activity|DNA binding|metal ion binding,|0016021|0031226|0005774|0005829|0005634,|integral component of membrane|intrinsic component of plasma membrane|vacuolar membrane|cytosol|nucleus,175.4475,21.5,21.4855,1
TRINITY_DN11094_c1_g1_i1,RNHX1_ARATH,PF13966.7,zinc-binding in reverse transcriptase ,.,.,.,.,.,.,215.3395,131.7165,92.384,0
TRINITY_DN11103_c0_g1_i3,PME18_ARATH,PF01095.20,Pectinesterase    ,|0042545|0045490|0043086|0009835,|cell wall modification|pectin catabolic process|negative regulation of catalytic activity|fruit ripening,|0045330|0030599|0004857,|aspartyl esterase activity|pectinesterase activity|enzyme inhibitor activity,|0005618|0005576|0016021,|cell wall|extracellular region|integral component of membrane,0,0,68.561,51.233
TRINITY_DN11139_c0_g1_i14,WDR5B_ARATH,PF00400.33,WD domain,|0032259|0010228|0016570|0018205|0008213,|methylation|vegetative to reproductive phase transition of meristem|histone modification|peptidyl-lysine modification|protein alkylation,|0008168|0042393,|methyltransferase activity|histone binding,|0048188|0080008,|Set1C/COMPASS complex|Cul4-RING E3 ubiquitin ligase complex,77.255,0,0,0
TRINITY_DN11139_c0_g1_i9,WDR5B_ARATH,PF00400.33,WD domain,|0032259|0010228|0016570|0018205|0008213,|methylation|vegetative to reproductive phase transition of meristem|histone modification|peptidyl-lysine modification|protein alkylation,|0008168|0042393,|methyltransferase activity|histone binding,|0048188|0080008,|Set1C/COMPASS complex|Cul4-RING E3 ubiquitin ligase complex,223.577,104.671,26.369,0
TRINITY_DN11142_c0_g2_i8,YSL5_ARATH,PF08784.12,Replication protein A C terminal,|0006260|0006281|0006310|0055085,|DNA replication|DNA repair|DNA recombination|transmembrane transport,|0003677|0005515,|DNA binding|protein binding,|0005634|0035861|0000781|0030894|0070013|0043233|0016021,|nucleus|site of double-strand break|chromosome telomeric region|replisome|intracellular organelle lumen|organelle lumen|integral component of membrane,122.2665,82.971,99.639,0
TRINITY_DN11184_c0_g1_i9,PRAF1_ARATH,PF00415.19,Regulator of chromosome condensation (RCC1),.,.,|0046872,|metal ion binding,.,.,103.359,0,0,95.074
TRINITY_DN11225_c0_g1_i9,ERF1Y_ARATH,PF03464.16,eRF1 domain 2  ,|0040008|0006415|0002181,|regulation of growth|translational termination|cytoplasmic translation,|0003747|1990825,|translation release factor activity|sequence-specific mRNA binding,|0018444|0005829|0016021,|translation release factor complex|cytosol|integral component of membrane,383.5795,1397.9695,1290.447,7562.2585
TRINITY_DN11314_c0_g1_i1,C78A5_ARATH,PF00067.23,Cytochrome P450   ,.,.,.,.,.,.,108.4625,0,195.4355,86.1265
TRINITY_DN1131_c0_g1_i2,ACOX1_ARATH,PF01756.20,Acyl-CoA oxidase   ,.,.,.,.,.,.,226.468,279.507,0,0
TRINITY_DN1131_c0_g1_i6,ACOX1_ARATH,PF14749.7,Acyl-coenzyme A oxidase N-terminal ,.,.,.,.,.,.,109.117,0,0,29.4985
TRINITY_DN1135_c0_g1_i4,CPL1_ARATH,PF00035.27,Double-stranded RNA binding motif ,|0070940|0009738|0009651|0009611|0045892|0006886|0016192,|dephosphorylation of RNA polymerase II C-terminal domain|abscisic acid-activated signaling pathway|response to salt stress|response to wounding|negative regulation of transcription DNA-templated|intracellular protein transport|vesicle-mediated transport,|0008420|0106307|0106306|0003723|0004647|0005198,|RNA polymerase II CTD heptapeptide repeat phosphatase activity|protein threonine phosphatase activity|protein serine phosphatase activity|RNA binding|phosphoserine phosphatase activity|structural molecule activity,|0005634|0030130|0030132|0016021,|nucleus|clathrin coat of trans-Golgi network vesicle|clathrin coat of coated pit|integral component of membrane,0,0,80.407,0
TRINITY_DN1136_c0_g1_i19,PFBS_ARATH,PF12171.9,Zinc-finger double-stranded RNA-binding  ,|0046901|0006730|0090351|0009853|0006761|0046901|0006730|0090351|0009853,|tetrahydrofolylpolyglutamate biosynthetic process|one-carbon metabolic process|seedling development|photorespiration|dihydrofolate biosynthetic process|tetrahydrofolylpolyglutamate biosynthetic process|one-carbon metabolic process|seedling development|photorespiration,|0004326|0005524|0046872|0008841|0004326|0005524|0046872,|tetrahydrofolylpolyglutamate synthase activity|ATP binding|metal ion binding|dihydrofolate synthase activity|tetrahydrofolylpolyglutamate synthase activity|ATP binding|metal ion binding,|0005829|0005739|0070013|0043233|0019866|0005739|0005829|0019866|0016021,|cytosol|mitochondrion|intracellular organelle lumen|organelle lumen|organelle inner membrane|mitochondrion|cytosol|organelle inner membrane|integral component of membrane,59.1415,65.4905,0,0
TRINITY_DN1136_c0_g1_i26,FPGS2_ARATH,PF05996.13,Ferredoxin-dependent bilin reductase  ,|0046901|0006730|0090351|0009853|0046901|0006730,|tetrahydrofolylpolyglutamate biosynthetic process|one-carbon metabolic process|seedling development|photorespiration|tetrahydrofolylpolyglutamate biosynthetic process|one-carbon metabolic process,|0004326|0005524|0046872|0004326|0005524|0046872,|tetrahydrofolylpolyglutamate synthase activity|ATP binding|metal ion binding|tetrahydrofolylpolyglutamate synthase activity|ATP binding|metal ion binding,|0005739|0005829|0019866|0016021|0005829|0005739,|mitochondrion|cytosol|organelle inner membrane|integral component of membrane|cytosol|mitochondrion,71.7285,0,0,8.356
TRINITY_DN1136_c0_g1_i39,FPGS2_ARATH,PF05996.13,Ferredoxin-dependent bilin reductase  ,|0046901|0006730|0090351|0009853,|tetrahydrofolylpolyglutamate biosynthetic process|one-carbon metabolic process|seedling development|photorespiration,|0004326|0005524|0046872,|tetrahydrofolylpolyglutamate synthase activity|ATP binding|metal ion binding,|0005829|0005739,|cytosol|mitochondrion,244.711,221.6935,241.0905,6.5
TRINITY_DN11396_c0_g2_i2,CCB11_ORYSJ,PF00134.24,Cyclin,|0007049|0051301|0000079|0010119|0007015|0090502,|cell cycle|cell division|regulation of cyclin-dependent protein serine/threonine kinase activity|regulation of stomatal movement|actin filament organization|RNA phosphodiester bond hydrolysis endonucleolytic,|0016538|0003779|0004523|0003676,|cyclin-dependent protein serine/threonine kinase regulator activity|actin binding|RNA-DNA hybrid ribonuclease activity|nucleic acid binding,|0000307|0005634|0005737|0016021,|cyclin-dependent protein kinase holoenzyme complex|nucleus|cytoplasm|integral component of membrane,27.3515,0,130.559,0
