,Table S1. All DEGs obtained in this study.,,,,,,,,
TRINITY_DN7584_c0_g1_i4,HSP7C_PETHY,PF00012.21,Hsp70 protein   ,|0051085|0034620|0042026|0009615|0009408,|chaperone cofactor-dependent protein refolding|cellular response to unfolded protein|protein refolding|response to virus|response to heat,|0051787|0044183|0005524|0031072|0051082|0016887,|misfolded protein binding|protein folding chaperone|ATP binding|heat shock protein binding|unfolded protein binding|ATPase activity,|0005788|0005618|0005886,|endoplasmic reticulum lumen|cell wall|plasma membrane
TRINITY_DN7604_c0_g1_i3,ZDHC1_ARATH,PF01529.21,DHHC palmitoyltransferase   ,|0018215|0018231|0018345|0006612,|protein phosphopantetheinylation|peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine|protein palmitoylation|protein targeting to membrane,|0019706,|protein-cysteine S-palmitoyltransferase activity,|0005794|0005783|0016021|0030659|0005886,|Golgi apparatus|endoplasmic reticulum|integral component of membrane|cytoplasmic vesicle membrane|plasma membrane
TRINITY_DN7719_c0_g1_i1,HSP21_SOYBN,PF00675.21,Insulinase (Peptidase family M16) ,|0006627|0006002|0061615|0006281|0042542|0009651|0009408|0051259|0006457|0071456,|protein processing involved in protein targeting to mitochondrion|fructose 6-phosphate metabolic process|glycolytic process through fructose-6-phosphate|DNA repair|response to hydrogen peroxide|response to salt stress|response to heat|protein complex oligomerization|protein folding|cellular response to hypoxia,|0046872|0003872|0008094|0005524|0016747|0003684|0004386|0003723|0043621|0051082,|metal ion binding|6-phosphofructokinase activity|DNA-dependent ATPase activity|ATP binding|transferase activity transferring acyl groups other than amino-acyl groups|damaged DNA binding|helicase activity|RNA binding|protein self-association|unfolded protein binding,|0005743|0005737,|mitochondrial inner membrane|cytoplasm
TRINITY_DN8123_c0_g1_i1,MURG_FLAPJ,PF04101.17,Glycosyltransferase family 28 C-terminal domain,|0030259|0008360|0071555|0009252|0007049|0051301|0005975|0009063,|lipid glycosylation|regulation of cell shape|cell wall organization|peptidoglycan biosynthetic process|cell cycle|cell division|carbohydrate metabolic process|cellular amino acid catabolic process,|0050511|0051991,|undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity|UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-26-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity,|0005886|0016021,|plasma membrane|integral component of membrane
TRINITY_DN820_c0_g1_i5,SBT3_LOTJA,PF17766.2,Fibronectin type-III domain  ,.,.,.,.,.,.
TRINITY_DN8266_c0_g1_i1,ILP1_ARATH,PF01312.20,FlhB HrpN YscU SpaS Family,|0006355|0042023|0017148|0000398|1903507,|regulation of transcription DNA-templated|DNA endoreduplication|negative regulation of translation|mRNA splicing via spliceosome|negative regulation of nucleic acid-templated transcription,|0003677|0030371,|DNA binding|translation repressor activity,|0005634,|nucleus
TRINITY_DN8276_c2_g1_i2,LRKS2_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0006468|0002229|0009617|0007178|0071446|0071395|0009611|0018212,|protein phosphorylation|defense response to oomycetes|response to bacterium|transmembrane receptor protein serine/threonine kinase signaling pathway|cellular response to salicylic acid stimulus|cellular response to jasmonic acid stimulus|response to wounding|peptidyl-tyrosine modification,|0004674|0005524|0019199|0004713,|protein serine/threonine kinase activity|ATP binding|transmembrane receptor protein kinase activity|protein tyrosine kinase activity,|0005886,|plasma membrane
TRINITY_DN831_c0_g1_i45,VAB_ARATH,PF01027.21,Inhibitor of apoptosis-promoting Bax1 ,|0010305|0010087|0009734,|leaf vascular tissue pattern formation|phloem or xylem histogenesis|auxin-activated signaling pathway,.,.,|0016021|0016021,|integral component of membrane|integral component of membrane
TRINITY_DN8320_c0_g1_i4,CADH6_ORYSJ,PF08240.13,Alcohol dehydrogenase GroES-like domain ,.,.,.,.,.,.
TRINITY_DN8330_c0_g1_i1,C78A5_ARATH,PF00067.23,Cytochrome P450   ,.,.,.,.,.,.
TRINITY_DN8547_c0_g1_i1,CDC22_ARATH,PF18265.2,Nas2 N_terminal domain  ,|1904668|0051301|1905786|0031145|0016567|0007049,|positive regulation of ubiquitin protein ligase activity|cell division|positive regulation of anaphase-promoting complex-dependent catabolic process|anaphase-promoting complex-dependent catabolic process|protein ubiquitination|cell cycle,|0097027|0010997|0019900,|ubiquitin-protein transferase activator activity|anaphase-promoting complex binding|kinase binding,|0005680|0030136|0080008|0005794,|anaphase-promoting complex|clathrin-coated vesicle|Cul4-RING E3 ubiquitin ligase complex|Golgi apparatus
TRINITY_DN8722_c0_g1_i1,MSP1_ORYSJ,PF13855.7,Leucine rich repeat  ,|0046777,|protein autophosphorylation,|0004674|0005524,|protein serine/threonine kinase activity|ATP binding,|0005886|0016021,|plasma membrane|integral component of membrane
TRINITY_DN8917_c0_g1_i7,ACHE_MAIZE,PF00657.23,GDSL-like Lipase/Acylhydrolase   ,|0016042,|lipid catabolic process,|0016788|0004560,|hydrolase activity acting on ester bonds|alpha-L-fucosidase activity,|0009505|0009506|0005576|0016021,|plant-type cell wall|plasmodesma|extracellular region|integral component of membrane
TRINITY_DN894_c0_g1_i18,HFA2C_ORYSJ,PF00447.18,HSF-type DNA-binding   ,|0006355|0034605,|regulation of transcription DNA-templated|cellular response to heat,|0043565|0003700|0001067|0003690|0042802,|sequence-specific DNA binding|DNA-binding transcription factor activity|regulatory region nucleic acid binding|double-stranded DNA binding|identical protein binding,|0005634|0005737,|nucleus|cytoplasm
TRINITY_DN8974_c0_g1_i14,TOP1_RICBR,PF01131.21,DNA topoisomerase   ,|0006265|0006422,|DNA topological change|aspartyl-tRNA aminoacylation,|0003917|0003677|0046872|0003729|0004815|0003918|0005524,|DNA topoisomerase type I (single strand cut ATP-independent) activity|DNA binding|metal ion binding|mRNA binding|aspartate-tRNA ligase activity|DNA topoisomerase type II (double strand cut ATP-hydrolyzing) activity|ATP binding,|0005694|0005737|0016021,|chromosome|cytoplasm|integral component of membrane
TRINITY_DN9036_c0_g1_i7,DESI1_XENLA,PF05903.15,PPPDE putative peptidase domain ,|0070646|0034434|0010150|0016127|0006888|0006886|0070646,|protein modification by small protein removal|sterol esterification|leaf senescence|sterol catabolic process|endoplasmic reticulum to Golgi vesicle-mediated transport|intracellular protein transport|protein modification by small protein removal,|0016787|0080095|0080096|0004607|0005515|0008270|0016787,|hydrolase activity|phosphatidylethanolamine-sterol O-acyltransferase activity|phosphatidate-sterol O-acyltransferase activity|phosphatidylcholine-sterol O-acyltransferase activity|protein binding|zinc ion binding|hydrolase activity,|0005634|0005737|0048475|0012506|0097708|0098588|0012505|0098796|0016021,|nucleus|cytoplasm|coated membrane|vesicle membrane|intracellular vesicle|bounding membrane of organelle|endomembrane system|membrane protein complex|integral component of membrane
TRINITY_DN9072_c0_g1_i5,XG113_ARATH,PF03407.17,Nucleotide-diphospho-sugar transferase   ,|0052325|0080147|0006486,|cell wall pectin biosynthetic process|root hair cell development|protein glycosylation,|0052636,|arabinosyltransferase activity,|0005794|0005768|0031984|0016021|0098588,|Golgi apparatus|endosome|organelle subcompartment|integral component of membrane|bounding membrane of organelle
TRINITY_DN9117_c0_g1_i4,LAX3_MEDTR,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009733|0009755|0055085|0060919|0048829|0010311|0009926,|amino acid transport|response to auxin|hormone-mediated signaling pathway|transmembrane transport|auxin influx|root cap development|lateral root formation|auxin polar transport,|0015293|0010328,|symporter activity|auxin influx transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN9131_c0_g1_i1,U85A2_ARATH,PF00201.19,UDP-glucoronosyl and UDP-glucosyl transferase ,.,.,|0008194,|UDP-glycosyltransferase activity,.,.
TRINITY_DN913_c0_g1_i3,CDKC2_ORYSJ,PF06999.13,Sucrase/ferredoxin-like    ,|0006468|0032968|0051726|0015846|0006468|0032968|0051726|0048366|0009615,|protein phosphorylation|positive regulation of transcription elongation from RNA polymerase II promoter|regulation of cell cycle|polyamine transport|protein phosphorylation|positive regulation of transcription elongation from RNA polymerase II promoter|regulation of cell cycle|leaf development|response to virus,|0004672|0005524|0019808|0004672|0005524|0005515,|protein kinase activity|ATP binding|polyamine binding|protein kinase activity|ATP binding|protein binding,|0000307|0000785|0005634|0042597|0016021|0000307|0000785|0005634|0005829|0016021,|cyclin-dependent protein kinase holoenzyme complex|chromatin|nucleus|periplasmic space|integral component of membrane|cyclin-dependent protein kinase holoenzyme complex|chromatin|nucleus|cytosol|integral component of membrane
TRINITY_DN918_c0_g1_i10,LHT1_ARATH,PF01490.19,Transmembrane amino acid transporter protein,.,.,.,.,.,.
TRINITY_DN9248_c0_g1_i19,PERK3_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0006468,|protein phosphorylation,|0016301|0016773|0140096|0005524,|kinase activity|phosphotransferase activity alcohol group as acceptor|catalytic activity acting on a protein|ATP binding,|0016021,|integral component of membrane
TRINITY_DN9248_c0_g1_i45,Y2296_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0006468,|protein phosphorylation,|0004672|0005524,|protein kinase activity|ATP binding,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN9287_c0_g1_i1,GH31_ARATH,PF03321.14,GH3 auxin-responsive promoter  ,|0009733|0010252,|response to auxin|auxin homeostasis,|0016881,|acid-amino acid ligase activity,|0005737,|cytoplasm
TRINITY_DN9350_c0_g1_i1,FLZ1_ARATH,PF04570.15,zinc-finger of the FCS-type,|0006355,|regulation of transcription DNA-templated,|0008270,|zinc ion binding,|0016021,|integral component of membrane
TRINITY_DN9435_c0_g1_i23,SUVR4_ARATH,PF10440.10,Ubiquitin-binding WIYLD domain  ,|0034968,|histone lysine methylation,|0018024|0008270,|histone-lysine N-methyltransferase activity|zinc ion binding,|0005634,|nucleus
TRINITY_DN9445_c0_g1_i2,ATB13_ARATH,PF00046.30,Homeodomain    ,|0006357|0045893|0048826|0080022|0009744,|regulation of transcription by RNA polymerase II|positive regulation of transcription DNA-templated|cotyledon morphogenesis|primary root development|response to sucrose,|0000981|0043565,|DNA-binding transcription factor activity RNA polymerase II-specific|sequence-specific DNA binding,|0005634,|nucleus
TRINITY_DN9445_c0_g1_i4,HOX21_ORYSJ,PF00046.30,Homeodomain    ,|0006357|0045893,|regulation of transcription by RNA polymerase II|positive regulation of transcription DNA-templated,|0000981|0043565,|DNA-binding transcription factor activity RNA polymerase II-specific|sequence-specific DNA binding,|0005634,|nucleus
TRINITY_DN972_c1_g1_i4,FBL17_ARATH,PF12799.8,Leucine Rich repeats (2 copies),|0055047|0009555|0009793|0031146|0016310,|generative cell mitosis|pollen development|embryo development ending in seed dormancy|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process|phosphorylation,|0016301|0005524,|kinase activity|ATP binding,|0001673|0019005|0009507,|male germ cell nucleus|SCF ubiquitin ligase complex|chloroplast
TRINITY_DN9733_c0_g1_i13,Y3136_ARATH,PF02668.17,Taurine catabolism dioxygenase TauD,.,.,.,.,.,.
TRINITY_DN988_c0_g1_i3,FL3H2_ORYSJ,PF03171.21,2OG-Fe(II) oxygenase superfamily  ,.,.,.,.,.,.
TRINITY_DN990_c0_g1_i3,Y1044_ARATH,PF03000.15,NPH3 family   ,|0016567,|protein ubiquitination,.,.,|0005634|0005886,|nucleus|plasma membrane
TRINITY_DN9939_c0_g1_i13,ILL7_ORYSJ,PF01546.29,Peptidase family M20/M25/M40  ,|0009850|0009694|0010112|0009753,|auxin metabolic process|jasmonic acid metabolic process|regulation of systemic acquired resistance|response to jasmonic acid,|0010179|0047980|1990206|0046872,|IAA-Ala conjugate hydrolase activity|hippurate hydrolase activity|jasmonyl-Ile conjugate hydrolase activity|metal ion binding,|0005783|0016021,|endoplasmic reticulum|integral component of membrane
TRINITY_DN9991_c0_g1_i1,CCX5_ARATH,PF01699.25,Sodium/calcium exchanger protein  ,|0055085|0006812,|transmembrane transport|cation transport,|0008324|0015318|0046982|0015297,|cation transmembrane transporter activity|inorganic molecular entity transmembrane transporter activity|protein heterodimerization activity|antiporter activity,|0016021|0034399|0005886,|integral component of membrane|nuclear periphery|plasma membrane
TRINITY_DN9993_c0_g1_i3,MIF2_ARATH,PF04770.13,ZF-HD protein dimerisation region ,|0006355|0009640|0048509|0043392|0009741|0009735|0009723|0009739|0009737|0009733|1903507|2000113,|regulation of transcription DNA-templated|photomorphogenesis|regulation of meristem development|negative regulation of DNA binding|response to brassinosteroid|response to cytokinin|response to ethylene|response to gibberellin|response to abscisic acid|response to auxin|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process,|0000976|0003700|0042803|0046872,|transcription regulatory region sequence-specific DNA binding|DNA-binding transcription factor activity|protein homodimerization activity|metal ion binding,|0005634|0005737|0016021,|nucleus|cytoplasm|integral component of membrane
TRINITY_DN1003_c0_g1_i12,RBP2A_PLAF7,PF08271.13,TFIIB zinc-binding   ,.,.,.,.,|0016021,|integral component of membrane
TRINITY_DN10047_c0_g1_i3,RBBP_ARATH,PF00400.33,WD domain,.,.,.,.,|0048188,|Set1C/COMPASS complex
TRINITY_DN10072_c0_g1_i11,OP10_MAIZE,PF16552.6,D-ornithine 4,.,.,.,.,.,.
TRINITY_DN10094_c0_g1_i3,CSLA9_ORYSJ,PF13632.7,Glycosyl transferase family group 2,|0097502|0071555,|mannosylation|cell wall organization,|0019187,|beta-14-mannosyltransferase activity,|0005794|0098588|0031984|0016021,|Golgi apparatus|bounding membrane of organelle|organelle subcompartment|integral component of membrane
TRINITY_DN10150_c0_g1_i9,MFSD5_MOUSE,PF05631.15,Sugar-tranasporters,|0015689|0006817,|molybdate ion transport|phosphate ion transport,|0015098,|molybdate ion transmembrane transporter activity,|0005886|0016021,|plasma membrane|integral component of membrane
TRINITY_DN10208_c0_g1_i2,ORC1_ORYSJ,PF00004.30,ATPase family associated with various,|0006260|0033314|0006259|0006325|0009452|0009567|0009744|0001510|0006355,|DNA replication|mitotic DNA replication checkpoint|DNA metabolic process|chromatin organization|7-methylguanosine RNA capping|double fertilization forming a zygote and endosperm|response to sucrose|RNA methylation|regulation of transcription DNA-templated,|0003682|0016887|0003677|0005524|0046872|0042393|0008168|0003723,|chromatin binding|ATPase activity|DNA binding|ATP binding|metal ion binding|histone binding|methyltransferase activity|RNA binding,|0005634|0000808|0000781|0070013|0043233|0016021,|nucleus|origin recognition complex|chromosome telomeric region|intracellular organelle lumen|organelle lumen|integral component of membrane
TRINITY_DN1023_c0_g1_i3,HIP6_ARATH,PF00403.27,Heavy-metal-associated domain   ,|0030001,|metal ion transport,|0046872,|metal ion binding,.,.
TRINITY_DN10293_c0_g1_i1,BH061_ARATH,PF01842.26,ACT domain   ,|0006355,|regulation of transcription DNA-templated,|0046983|0043565|0003700,|protein dimerization activity|sequence-specific DNA binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN10325_c0_g1_i2,TMN11_ARATH,PF02990.17,Endomembrane protein 70  ,|0072657|0006817,|protein localization to membrane|phosphate ion transport,|0003677|0046872,|DNA binding|metal ion binding,|0010008|0000139|0005802|0016021|0005797|0005829|0009536|0005886,|endosome membrane|Golgi membrane|trans-Golgi network|integral component of membrane|Golgi medial cisterna|cytosol|plastid|plasma membrane
TRINITY_DN10333_c0_g1_i1,MTND1_VITVI,PF03079.15,ARD/ARD' family   ,.,.,.,.,.,.
TRINITY_DN10340_c0_g1_i29,GLO14_ORYSI,PF12076.9,WAX2 C-terminal domain  ,.,.,.,.,.,.
TRINITY_DN10400_c0_g1_i5,VPS15_ARATH,PF00400.33,WD domain,|0006468,|protein phosphorylation,|0004672|0005524,|protein kinase activity|ATP binding,|0005768,|endosome
TRINITY_DN10403_c0_g1_i9,SRO3_ARATH,PF12174.9,RCD1-SRO-TAF4 (RST) plant domain ,|0010102|0009793|0009651|0010193|0009867|0048573|0009873|0006809|2000377|0009414|0012501|0000303|0042542|0016032,|lateral root morphogenesis|embryo development ending in seed dormancy|response to salt stress|response to ozone|jasmonic acid mediated signaling pathway|photoperiodism flowering|ethylene-activated signaling pathway|nitric oxide biosynthetic process|regulation of reactive oxygen species metabolic process|response to water deprivation|programmed cell death|response to superoxide|response to hydrogen peroxide|viral process,|0003950|0005515,|NAD+ ADP-ribosyltransferase activity|protein binding,|0016363|0005737,|nuclear matrix|cytoplasm
